iter	Passed	Remaining
0	178	89293
1	214	53523
2	248	41185
3	282	35089
4	317	31421
5	353	29115
6	389	27431
7	425	26192
8	459	25071
9	492	24145
10	531	23612
11	564	22965
12	598	22425
13	634	22029
14	670	21671
15	704	21303
16	739	21000
17	773	20712
18	808	20473
19	843	20236
20	876	19992
21	910	19788
22	946	19622
23	981	19464
24	1018	19359
25	1055	19235
26	1087	19056
27	1121	18911
28	1156	18781
29	1189	18629
30	1224	18526
31	1263	18484
32	1302	18438
33	1339	18362
34	1374	18259
35	1408	18159
36	1445	18083
37	1479	17990
38	1519	17956
39	1557	17916
40	1593	17844
41	1628	17760
42	1662	17667
43	1696	17586
44	1731	17505
45	1764	17413
46	1797	17327
47	1831	17247
48	1863	17150
49	1896	17064
50	1946	17139
51	1984	17093
52	2021	17047
53	2054	16965
54	2087	16891
55	2122	16829
56	2158	16777
57	2228	16984
58	2268	16953
59	2303	16890
60	2338	16830
61	2374	16777
62	2408	16704
63	2442	16640
64	2479	16593
65	2514	16531
66	2547	16466
67	2582	16403
68	2618	16353
69	2652	16292
70	2685	16228
71	2721	16177
72	2755	16118
73	2791	16071
74	2824	16008
75	2861	15964
76	2895	15904
77	2933	15870
78	2968	15821
79	3005	15776
80	3042	15739
81	3077	15685
82	3115	15651
83	3150	15603
84	3188	15566
85	3222	15511
86	3256	15459
87	3292	15416
88	3328	15370
89	3365	15332
90	3399	15278
91	3434	15230
92	3467	15175
93	3500	15117
94	3529	15047
95	3559	14980
96	3593	14928
97	3625	14873
98	3657	14814
99	3691	14766
100	3725	14716
101	3758	14667
102	3793	14621
103	3828	14576
104	3861	14526
105	3906	14522
106	3942	14480
107	3977	14438
108	4011	14388
109	4047	14350
110	4081	14304
111	4116	14259
112	4149	14211
113	4182	14162
114	4216	14114
115	4247	14061
116	4280	14013
117	4312	13960
118	4346	13916
119	4381	13873
120	4414	13825
121	4445	13773
122	4480	13732
123	4513	13684
124	4546	13638
125	4577	13586
126	4610	13542
127	4644	13497
128	4677	13451
129	4711	13409
130	4746	13370
131	4780	13328
132	4812	13280
133	4848	13243
134	4880	13196
135	4912	13147
136	4945	13103
137	4977	13058
138	5009	13010
139	5041	12964
140	5076	12924
141	5108	12879
142	5142	12838
143	5176	12798
144	5212	12760
145	5246	12721
146	5280	12679
147	5312	12635
148	5349	12602
149	5387	12571
150	5421	12531
151	5455	12489
152	5489	12448
153	5522	12406
154	5555	12365
155	5590	12328
156	5626	12292
157	5652	12234
158	5686	12194
159	5719	12154
160	5754	12116
161	5790	12081
162	5826	12046
163	5861	12008
164	5895	11970
165	5927	11926
166	5960	11884
167	5993	11844
168	6029	11808
169	6064	11771
170	6099	11736
171	6134	11698
172	6169	11661
173	6202	11620
174	6235	11579
175	6269	11541
176	6280	11461
177	6314	11422
178	6350	11387
179	6381	11345
180	6413	11303
181	6453	11275
182	6485	11235
183	6520	11197
184	6554	11160
185	6587	11120
186	6620	11081
187	6656	11046
188	6693	11014
189	6729	10979
190	6763	10942
191	6799	10907
192	6837	10876
193	6872	10840
194	6907	10803
195	6946	10774
196	6983	10740
197	7020	10707
198	7056	10673
199	7091	10636
200	7126	10601
201	7162	10565
202	7197	10530
203	7233	10496
204	7267	10458
205	7303	10422
206	7336	10384
207	7367	10342
208	7402	10307
209	7439	10273
210	7470	10232
211	7504	10195
212	7538	10157
213	7571	10119
214	7606	10083
215	7642	10048
216	7678	10014
217	7713	9977
218	7749	9943
219	7786	9909
220	7823	9876
221	7860	9843
222	7897	9809
223	7931	9773
224	7967	9737
225	8003	9703
226	8042	9672
227	8077	9636
228	8114	9603
229	8151	9569
230	8190	9537
231	8212	9487
232	8247	9451
233	8285	9419
234	8324	9387
235	8360	9352
236	8395	9316
237	8430	9280
238	8469	9249
239	8505	9214
240	8540	9178
241	8589	9157
242	8624	9121
243	8659	9085
244	8694	9049
245	8728	9012
246	8763	8976
247	8797	8939
248	8833	8904
249	8870	8870
250	8891	8820
251	8928	8786
252	8963	8750
253	8998	8714
254	9031	8677
255	9066	8641
256	9103	8607
257	9130	8564
258	9163	8526
259	9199	8491
260	9234	8456
261	9268	8419
262	9301	8381
263	9334	8344
264	9367	8307
265	9396	8266
266	9428	8228
267	9463	8192
268	9497	8155
269	9534	8121
270	9570	8087
271	9604	8050
272	9639	8015
273	9669	7975
274	9701	7937
275	9737	7902
276	9765	7861
277	9798	7824
278	9833	7788
279	9869	7754
280	9899	7715
281	9931	7677
282	9960	7637
283	9993	7600
284	10024	7562
285	10060	7527
286	10086	7485
287	10117	7447
288	10151	7411
289	10183	7374
290	10215	7337
291	10250	7301
292	10288	7268
293	10323	7233
294	10358	7198
295	10391	7161
296	10426	7126
297	10453	7085
298	10485	7048
299	10519	7013
300	10544	6971
301	10580	6936
302	10610	6898
303	10648	6865
304	10686	6832
305	10717	6794
306	10752	6759
307	10785	6723
308	10810	6681
309	10842	6645
310	10876	6610
311	10907	6572
312	10942	6537
313	10976	6501
314	11007	6464
315	11036	6426
316	11074	6393
317	11104	6355
318	11142	6322
319	11173	6284
320	11208	6250
321	11246	6216
322	11277	6179
323	11311	6144
324	11347	6109
325	11384	6076
326	11418	6041
327	11449	6003
328	11487	5970
329	11519	5934
330	11557	5900
331	11593	5866
332	11622	5828
333	11656	5793
334	11689	5757
335	11724	5722
336	11762	5689
337	11797	5654
338	11835	5620
339	11871	5586
340	11898	5547
341	11930	5511
342	11959	5473
343	11994	5439
344	12029	5404
345	12064	5369
346	12091	5331
347	12128	5297
348	12161	5261
349	12198	5227
350	12233	5193
351	12266	5157
352	12300	5122
353	12328	5084
354	12361	5049
355	12394	5013
356	12427	4977
357	12459	4941
358	12491	4906
359	12514	4866
360	12546	4830
361	12579	4795
362	12611	4759
363	12644	4724
364	12670	4686
365	12702	4650
366	12736	4615
367	12767	4579
368	12803	4545
369	12838	4510
370	12872	4476
371	12908	4441
372	12934	4403
373	12965	4368
374	13000	4333
375	13029	4297
376	13063	4262
377	13114	4232
378	13152	4198
379	13180	4162
380	13215	4127
381	13245	4091
382	13280	4057
383	13309	4020
384	13348	3987
385	13381	3952
386	13410	3915
387	13443	3880
388	13475	3845
389	13508	3810
390	13539	3774
391	13571	3739
392	13596	3701
393	13628	3666
394	13663	3632
395	13690	3595
396	13726	3561
397	13760	3526
398	13790	3490
399	13825	3456
400	13860	3421
401	13896	3387
402	13926	3352
403	13960	3317
404	13996	3283
405	14030	3248
406	14062	3213
407	14094	3178
408	14123	3142
409	14152	3106
410	14187	3072
411	14219	3037
412	14249	3001
413	14281	2966
414	14316	2932
415	14348	2897
416	14381	2862
417	14416	2828
418	14452	2793
419	14485	2759
420	14517	2724
421	14545	2688
422	14576	2653
423	14612	2619
424	14646	2584
425	14684	2550
426	14719	2516
427	14755	2482
428	14792	2448
429	14831	2414
430	14869	2380
431	14905	2346
432	14942	2312
433	14974	2277
434	15010	2242
435	15048	2208
436	15080	2174
437	15115	2139
